v_p_id,v_upvote,v_date
1,false,2015-08-26 01:21:45
2,false,2015-05-21 08:06:19
3,false,2015-12-18 03:20:52
4,true,2015-07-26 09:44:00
5,false,2015-03-13 16:32:15
6,true,2015-10-28 13:27:04
7,false,2016-02-19 11:04:32
8,false,2015-11-27 01:20:17
9,true,2016-02-02 21:36:57
10,true,2015-11-15 01:28:58
11,false,2016-01-11 16:03:20
12,false,2015-11-07 19:32:45
13,false,2016-01-16 00:21:40
14,false,2015-11-07 14:33:18
15,false,2016-02-18 00:07:18
16,false,2016-01-02 23:52:40
17,true,2016-01-13 02:26:31
18,true,2015-09-19 02:38:35
19,true,2015-03-09 23:27:39
20,true,2015-08-29 02:52:17
21,false,2015-11-06 03:33:17
22,false,2016-03-11 04:51:08
23,false,2015-12-05 09:50:56
24,false,2015-04-02 15:54:08
25,false,2015-06-26 14:34:30
26,true,2016-01-11 02:22:13
27,false,2015-11-30 05:06:50
28,true,2015-09-28 00:59:23
29,false,2015-11-13 16:42:24
30,false,2015-03-22 11:48:15
31,false,2016-03-10 16:06:54
32,true,2015-09-11 18:30:46
33,false,2015-04-11 05:23:07
34,true,2015-08-12 00:25:03
35,false,2015-04-18 06:12:31
36,true,2015-06-20 08:55:36
37,false,2016-02-19 15:05:18
38,true,2016-02-24 18:05:16
39,true,2015-09-08 16:47:02
40,true,2015-09-10 22:02:45
41,false,2015-07-29 19:39:26
42,false,2016-01-23 22:21:56
43,true,2015-03-17 12:37:15
44,false,2015-10-24 12:44:57
45,true,2015-11-16 17:03:32
46,false,2015-04-06 00:29:08
47,true,2015-03-24 04:00:14
48,true,2015-05-10 19:53:21
49,true,2015-10-18 09:28:44
50,true,2015-07-29 10:58:45
51,false,2015-12-17 01:19:04
52,false,2015-05-17 07:50:52
53,true,2015-11-11 04:03:17
54,true,2015-09-21 07:13:03
55,true,2015-07-30 21:26:38
56,false,2015-11-20 01:35:39
57,false,2016-01-11 02:05:26
58,false,2015-07-26 05:06:05
59,false,2015-11-10 13:52:38
60,true,2015-09-16 20:04:29
61,true,2015-04-06 05:28:53
62,true,2015-12-22 11:43:33
63,true,2016-02-20 15:25:43
64,true,2015-10-02 08:47:57
65,false,2015-11-22 13:53:36
66,true,2015-06-05 01:36:53
67,false,2015-04-02 02:38:18
68,true,2015-12-06 23:18:04
69,false,2015-05-12 16:18:40
70,true,2016-02-13 07:13:05
71,true,2016-02-22 22:49:16
72,false,2015-04-25 22:26:09
73,true,2015-05-25 21:34:17
74,false,2015-07-17 04:38:43
75,true,2015-05-19 19:19:36
76,false,2016-03-22 07:51:06
77,true,2015-11-08 12:04:19
78,true,2015-08-06 14:57:40
79,true,2015-07-24 20:34:17
80,false,2015-06-09 14:41:23
81,false,2015-11-19 13:19:46
82,false,2016-02-18 16:39:33
83,true,2015-06-30 13:14:54
84,true,2016-01-12 03:45:36
85,true,2015-08-23 15:23:09
86,false,2015-08-08 17:41:14
87,true,2016-02-21 03:34:16
88,false,2016-03-24 20:12:02
89,false,2015-03-03 05:04:57
90,false,2016-02-04 16:40:42
91,false,2015-04-23 01:10:50
92,false,2015-12-19 04:10:31
93,true,2015-04-26 03:47:01
94,true,2015-04-17 04:57:20
95,false,2015-05-13 09:36:53
96,false,2015-09-09 07:23:01
97,true,2015-04-21 23:12:22
98,true,2015-08-28 03:53:18
99,true,2015-11-24 11:12:30
100,false,2016-03-11 08:31:44
101,true,2015-04-12 14:10:38
102,true,2015-08-09 20:25:01
103,true,2015-06-02 23:10:14
104,false,2015-07-01 23:29:49
105,true,2015-12-11 10:31:35
106,true,2015-09-29 22:43:48
107,true,2015-06-01 02:02:17
108,true,2015-08-03 09:49:33
109,true,2015-12-03 01:12:48
110,false,2015-12-25 19:56:12
111,false,2016-01-09 06:51:21
112,true,2015-09-01 06:42:14
113,true,2015-12-20 19:38:29
114,true,2015-06-08 21:36:02
115,false,2015-10-06 00:24:26
116,true,2016-02-11 09:37:23
117,true,2016-01-15 06:51:46
118,true,2015-05-13 19:31:48
119,false,2015-07-28 05:55:45
120,false,2016-01-02 04:38:00
121,true,2015-12-12 02:29:53
122,true,2016-03-13 19:19:45
123,true,2016-02-11 04:19:17
124,true,2015-05-17 12:33:53
125,true,2015-11-13 04:08:56
126,true,2015-12-12 02:53:48
127,false,2015-11-29 21:59:23
128,true,2016-03-03 23:46:27
129,true,2015-12-04 10:02:40
130,true,2015-11-27 01:01:11
131,false,2015-09-08 01:54:00
132,false,2015-04-07 01:11:02
133,false,2015-07-09 09:47:29
134,true,2015-11-17 06:43:14
135,true,2015-11-23 08:44:34
136,true,2016-03-23 09:47:00
137,false,2015-09-30 21:38:05
138,true,2015-08-20 17:24:37
139,true,2015-06-13 20:29:20
140,false,2015-03-02 18:03:40
141,true,2015-03-06 17:25:08
142,true,2015-08-25 21:49:31
143,false,2016-03-15 18:58:26
144,true,2016-03-03 16:04:31
145,false,2015-10-29 13:56:31
146,true,2015-04-25 10:48:10
147,true,2015-06-07 15:24:58
148,true,2016-02-16 00:36:33
149,false,2015-04-08 21:03:17
150,false,2015-12-13 16:29:19
151,false,2015-05-15 17:10:18
152,false,2015-10-12 09:40:37
153,false,2015-07-19 01:19:07
154,true,2015-06-10 07:05:15
155,true,2015-06-12 05:59:50
156,false,2015-07-20 02:59:43
157,true,2015-04-19 11:43:14
158,true,2015-12-22 16:17:29
159,true,2015-11-01 08:49:15
160,false,2016-03-09 12:59:02
161,true,2016-02-02 12:40:52
162,true,2015-10-05 15:52:12
163,false,2016-02-04 15:32:15
164,true,2015-10-18 07:25:12
165,false,2016-03-14 21:50:49
166,false,2015-04-17 11:17:37
167,true,2015-06-25 12:08:01
168,false,2016-01-05 22:14:17
169,true,2016-01-20 11:20:35
170,true,2015-09-18 22:52:42
171,true,2015-08-04 00:32:35
172,false,2015-07-24 02:02:42
173,true,2015-04-11 21:04:04
174,false,2015-12-18 10:25:26
175,true,2015-06-23 21:55:48
176,true,2015-08-02 05:37:16
177,false,2015-03-30 21:36:51
178,false,2015-11-27 21:19:07
179,true,2015-03-12 19:25:19
180,false,2015-10-21 00:25:07
181,false,2015-12-30 19:13:10
182,true,2016-02-24 12:54:51
183,true,2015-05-11 19:20:16
184,true,2015-05-15 06:15:46
185,true,2015-10-16 13:09:03
186,false,2015-04-04 12:39:48
187,false,2015-11-28 15:54:39
188,true,2016-02-15 16:49:51
189,false,2015-06-13 07:08:16
190,false,2015-08-21 19:17:41
191,true,2015-09-18 14:18:28
192,true,2015-05-28 04:03:19
193,true,2016-02-19 04:01:30
194,false,2015-05-17 02:19:12
195,false,2015-09-03 13:18:48
196,false,2015-08-12 00:58:35
197,true,2015-10-18 15:22:11
198,false,2015-08-21 03:56:54
199,false,2015-07-09 16:25:09
200,true,2016-02-01 12:37:15
201,true,2015-06-22 01:04:27
